disease,cell_type,down_genes,down_reg_scores,up_genes,up_reg_scores
DOID:2789,Intestinal Epithelium,"['MT1E' 'RPS9' 'MT1H' 'EEF2' 'RPS5' 'MT1F' 'RPL10A' 'ALDOA' 'RPS11' 'MT1A'
 'MIF' 'LOC100505584' 'MT1B' 'ATF4' 'RPL8' 'RPS15' 'EEF1D' 'RPL3' 'PHGDH'
 'ALDOC']","['-0.2835889458656311' '-0.15774238109588623' '-0.148790642619133'
 '-0.1356714963912964' '-0.11972840130329132' '-0.11956698447465897'
 '-0.11391781270503998' '-0.1072939932346344' '-0.10264728218317032'
 '-0.09793607890605927' '-0.08961367607116699' '-0.08955532312393188'
 '-0.0892222672700882' '-0.08897077292203903' '-0.08822660148143768'
 '-0.08375014364719391' '-0.08267423510551453' '-0.08110827207565308'
 '-0.08019653707742691' '-0.07817911356687546']","['SFN' 'GDF15' 'FTH1P5' 'TUBB4B' 'ANXA2P3' 'RPL37A' 'HSP90AA1' 'AKR1C2'
 'HLA-A' 'IER3' 'EEF1A1' 'S100P' 'PRDX1' 'ACTG1' 'ATP1B3' 'FTL' 'ARF4'
 'FTH1' 'CYCS' 'EIF4G2']","['0.17362767457962036' '0.14779646694660187' '0.12692028284072876'
 '0.12649109959602356' '0.11840471625328064' '0.10171978175640106'
 '0.09834390878677368' '0.09750445187091827' '0.09692749381065369'
 '0.09652864933013916' '0.09441883862018585' '0.08726014941930771'
 '0.08717543631792068' '0.0816207081079483' '0.07950548082590103'
 '0.07931924611330032' '0.07905097305774689' '0.07646947354078293'
 '0.07404216378927231' '0.06920534372329712']"
DOID:10941,cerebral artery,"['IGHV4-31' 'CYAT1' 'IGHA2' 'CSRP1' 'IGLC7' 'CNN1' 'ACTB' 'LOC652493'
 'MYL9' 'PLN' 'IGK' 'CCL21' 'HSPB1' 'RPL13A' 'SPARCL1' 'RPL9' 'RPL11'
 'RPL8' 'RPL41' 'FHL1']","['-0.21587082743644714' '-0.16368795931339264' '-0.1522313952445984'
 '-0.14503107964992523' '-0.13123168051242828' '-0.12134623527526855'
 '-0.11965694278478622' '-0.11679435521364212' '-0.1139347180724144'
 '-0.11051689088344574' '-0.10669411718845367' '-0.1054009273648262'
 '-0.10271783918142319' '-0.0994005799293518' '-0.09562250971794128'
 '-0.09461335092782974' '-0.09438639879226685' '-0.09334177523851395'
 '-0.09277661889791489' '-0.09207208454608917']","['COL1A2' 'TIMP1' 'COL5A2' 'CTGF' 'HMOX1' 'TMSB10' 'FTL' 'COL1A1' 'FN1'
 'SAT1' 'PABPC3' 'PCOLCE' 'ARF4' 'SERPINA3' 'FTH1P5' 'IGFBP2' 'MAGED1'
 'CFHR1' 'COL3A1' 'CTHRC1']","['0.10626642405986786' '0.08965820074081421' '0.08331035077571869'
 '0.069540835916996' '0.06876654177904129' '0.0675167664885521'
 '0.06397906690835953' '0.05009237676858902' '0.04857262596487999'
 '0.0448266863822937' '0.04192265495657921' '0.03895994648337364'
 '0.038003623485565186' '0.03787950053811073' '0.036916401237249374'
 '0.03650125488638878' '0.03576389327645302' '0.032552361488342285'
 '0.032232191413640976' '0.03211282566189766']"
DOID:4873,CNS - Spinal Cord (MMHCC),"['PLP1' 'NEFM' 'CNP' 'COL1A2' 'HBA2' 'PMP22' 'TUBA1C' 'COL3A1' 'ENPP2'
 'APLP1' 'DYNC1H1' 'LGALS1' 'HBB' 'NPIPB5' 'NEFL' 'APOD' 'ZNF160' 'TUBA1B'
 'HBG2' 'PKD1P1']","['-0.26487115025520325' '-0.167078897356987' '-0.15630148351192474'
 '-0.14018820226192474' '-0.13797515630722046' '-0.13701395690441132'
 '-0.10957721620798111' '-0.09906767308712006' '-0.09670782834291458'
 '-0.09193488955497742' '-0.09151260554790497' '-0.09082557260990143'
 '-0.09025853872299194' '-0.08987128734588623' '-0.08842363953590393'
 '-0.08422066271305084' '-0.07990318536758423' '-0.07857829332351685'
 '-0.07366219162940979' '-0.06730161607265472']","['RPS23' 'RPL41' 'RPL12' 'LOC728392' 'RPL36A' 'AGT' 'NNAT' 'ZIC1' 'RPS26'
 'HNRNPA1P10' 'RPL32' 'RPS29' 'NGFRAP1' 'RPL8' 'TUBB4B' 'RPL13A' 'RPL39'
 'RTN1' 'MAGED1' 'CDO1']","['0.1622561663389206' '0.13389186561107635' '0.1261068880558014'
 '0.10892000049352646' '0.09647572785615921' '0.09416179358959198'
 '0.09210427850484848' '0.09159456193447113' '0.09113385528326035'
 '0.0831817239522934' '0.07724571973085403' '0.07575108855962753'
 '0.07465387880802155' '0.07141023129224777' '0.0702911913394928'
 '0.06823348999023438' '0.0680873692035675' '0.06769486516714096'
 '0.06376662105321884' '0.06281519681215286']"
DOID:0050933,low-grade serous ovarian carcinomas (tumors from patients with matched border control),"['SNORD95' 'CTGF' 'TXNIP' 'RPPH1' 'RPS16' 'SNORD46' 'HSP90B1' 'SNORD28'
 'CANX' 'EEF1G' 'RPL10' 'SPON1' 'DUSP1' 'PABPC1' 'LAPTM4A' 'ATP5B' 'NFIB'
 'NBPF20' 'TSPAN3' 'PERP']","['-0.10225166380405426' '-0.09043241292238235' '-0.08972533047199249'
 '-0.08438152074813843' '-0.08217944949865341' '-0.0788690522313118'
 '-0.07432669401168823' '-0.07261952757835388' '-0.07005216181278229'
 '-0.06723906844854355' '-0.06260880827903748' '-0.05964185297489166'
 '-0.058130230754613876' '-0.057130299508571625' '-0.0567428283393383'
 '-0.05413900688290596' '-0.05271853879094124' '-0.05259700119495392'
 '-0.051837142556905746' '-0.05080568790435791']","['COL1A1' 'MIR675' 'CLU' 'RPL21P28' 'FOXD4L5' 'COL1A2' 'SPP1' 'S100A10'
 'RNA18S5' 'RN7SL2' 'CTCFL' 'TMSB4X' 'GUSBP1' 'FN1' 'ITM2B' 'RPS18' 'MYL6'
 'RPS11' 'APP' 'TPT1']","['0.16833561658859253' '0.16399264335632324' '0.15951021015644073'
 '0.14898616075515747' '0.13539274036884308' '0.13268300890922546'
 '0.12400688230991364' '0.12318269163370132' '0.10843957960605621'
 '0.10608915239572525' '0.09383321553468704' '0.08752758055925369'
 '0.08631744980812073' '0.07839999347925186' '0.07830742746591568'
 '0.07743533700704575' '0.07482542842626572' '0.07375675439834595'
 '0.07315490394830704' '0.07137321680784225']"
DOID:7147,macrophage,"['LOC100510519' 'XIST' 'GBP5' 'CXCL10' 'ZBED2' 'ITM2A' 'GCH1' 'MSR1'
 'CXCL9' 'CD69' 'TNFAIP6' 'MMP7' 'SLC51B' 'GZMA' 'EMR3' 'IDO1' 'ADAMDEC1'
 'GBP1' 'IRF1' 'DSP']","['-0.09778135269880295' '-0.09702294319868088' '-0.09691499918699265'
 '-0.09561918675899506' '-0.08136089146137238' '-0.07872266322374344'
 '-0.0746900737285614' '-0.07180435210466385' '-0.07142627239227295'
 '-0.07109566032886505' '-0.06762956827878952' '-0.0664561465382576'
 '-0.06494180113077164' '-0.06347141414880753' '-0.06186031550168991'
 '-0.06085045635700226' '-0.06036553904414177' '-0.0597199983894825'
 '-0.059470828622579575' '-0.059371743351221085']","['HLA-DRB4' 'PNMAL1' 'SLC16A14' 'GREM1' 'UTS2' 'AMDHD1' 'LOC100510495'
 'SLC12A8' 'VNN1' 'IL1R2' 'HPGDS' 'ANKRD20A8P' 'CCL4' 'PVALB' 'MARCO'
 'GPAT2' 'WLS' 'DEPDC7' 'CNRIP1' 'ENPP2']","['0.08300308883190155' '0.07201013714075089' '0.06569628417491913'
 '0.06219920516014099' '0.05758382007479668' '0.05478758364915848'
 '0.05138704925775528' '0.048096559941768646' '0.04668334499001503'
 '0.046231769025325775' '0.04502669349312782' '0.044272180646657944'
 '0.04355134442448616' '0.042488303035497665' '0.040303558111190796'
 '0.039626430720090866' '0.039293184876441956' '0.03872176632285118'
 '0.03786199539899826' '0.03764361888170242']"
DOID:8029,"Sections from sporadic, primary Basal Like Cancer specimens","['PIP' 'MUCL1' 'IGHA2' 'APOD' 'SCGB2A2' 'RPL3' 'RPL41' 'RPL13A' 'IGJ'
 'AZGP1' 'SPARCL1' 'KRT15' 'EEF2' 'RPS4X' 'RPL4' 'RPL12' 'H3F3B' 'IGFBP4'
 'MGP' 'RPL32']","['-0.28258830308914185' '-0.26329413056373596' '-0.2373143434524536'
 '-0.23100930452346802' '-0.1909036934375763' '-0.13706405460834503'
 '-0.1235712394118309' '-0.1160966083407402' '-0.11399485170841217'
 '-0.11352336406707764' '-0.09880989044904709' '-0.09407974034547806'
 '-0.09146126359701157' '-0.09073317795991898' '-0.08883080631494522'
 '-0.07656752318143845' '-0.07557741552591324' '-0.07409793138504028'
 '-0.07377570122480392' '-0.07317731529474258']","['TMSB10' 'GAPDH' 'PTMA' 'FDCSP' 'IGHV4-31' 'CD24' 'PABPC3' 'COX1' 'YBX1'
 'RLIM' 'EPCAM' 'H2AFZ' 'SNHG6' 'CTHRC1' 'RPS7' 'HSP90AA1' 'RPL30'
 'H3F3AP4' 'SNRPG' 'UBD']","['0.11023756116628647' '0.09205279499292374' '0.09134949743747711'
 '0.08281220495700836' '0.07973553240299225' '0.07637536525726318'
 '0.07542041689157486' '0.07401780039072037' '0.07350771129131317'
 '0.07031433284282684' '0.06910371035337448' '0.06729323416948318'
 '0.06680784374475479' '0.06290056556463242' '0.06280986219644547'
 '0.06137730926275253' '0.06028302013874054' '0.05859723314642906'
 '0.05835546925663948' '0.054930537939071655']"
DOID:7061,AT2 E/R positive BCP ALL cell line (following E/R -ETV6/RUNX1- knockdown),"['HSPA8' 'LDHA' 'SEP15' 'SLIRP' 'RPS29' 'EIF3E' 'TMEM263' 'SETP4' 'TCL1A'
 'NRIP1' 'HSP90AA1' 'SLC35E3' 'RPL9' 'RPL19' 'SERINC5' 'MME' 'TOP2B'
 'UBA2' 'RPS17' 'RPL36A']","['-0.17354455590248108' '-0.1438690423965454' '-0.10686910152435303'
 '-0.10507620126008987' '-0.09444447606801987' '-0.0935676097869873'
 '-0.09127936512231827' '-0.07438303530216217' '-0.07428950071334839'
 '-0.07372687757015228' '-0.07169368118047714' '-0.07124677300453186'
 '-0.06908994168043137' '-0.06834948062896729' '-0.06654887646436691'
 '-0.0661807730793953' '-0.05833061411976814' '-0.0578220970928669'
 '-0.05733444541692734' '-0.05502934381365776']","['RPS6' 'CYAT1' 'COX1' 'PTGES3' 'IGLC7' 'HLA-DRB5' 'HLA-DRA' 'HLA-DRB4'
 'ATF4' 'RRM2' 'SLC7A5' 'IER2' 'HLA-DRB1' 'AARS' 'H2AFZ' 'VPREB3' 'DDIT4'
 'HLA-A' 'FTH1P5' 'HERPUD1']","['0.3798212707042694' '0.23792119324207306' '0.12641437351703644'
 '0.11897294223308563' '0.1178634762763977' '0.11265289783477783'
 '0.10996049642562866' '0.10674282908439636' '0.0977693498134613'
 '0.09068797528743744' '0.09017986804246902' '0.08951675891876221'
 '0.08344960957765579' '0.08185286819934845' '0.07923532277345657'
 '0.07560893148183823' '0.0755816102027893' '0.07215383648872375'
 '0.07178553938865662' '0.07105322182178497']"
DOID:7474,Pleura,"['HBB' 'FABP4' 'CYAT1' 'HBA2' 'C3' 'EEF1A1' 'B2M' 'MGP' 'RPL9' 'TMSB4XP8'
 'SEPP1' 'ANXA1' 'EEF1A1P9' 'RPS20' 'RGS2' 'RPL34' 'RPL41' 'SPARCL1'
 'RPS3A' 'RPL36A']","['-0.4542321264743805' '-0.3155328929424286' '-0.27150633931159973'
 '-0.24307987093925476' '-0.17656764388084412' '-0.14920394122600555'
 '-0.14690333604812622' '-0.14361853897571564' '-0.12730449438095093'
 '-0.1265176236629486' '-0.12155196070671082' '-0.10659284889698029'
 '-0.09763047844171524' '-0.0965362936258316' '-0.09582282602787018'
 '-0.09325815737247467' '-0.08036148548126221' '-0.07862698286771774'
 '-0.07795717567205429' '-0.07615863531827927']","['IGHV4-31' 'PABPC1' 'RLIM' 'S100A10' 'RPS18' 'PABPC3' 'ANXA8L1' 'HLA-A'
 'RPS10' 'RPLP0' 'RPLP1' 'SPP1' 'H3F3AP4' 'RPL39' 'EEF2' 'EEF1G' 'IFITM3'
 'CCL2' 'TMSB10' 'RPLP0P6']","['0.14819663763046265' '0.09946194291114807' '0.09711258113384247'
 '0.09480536729097366' '0.09221359342336655' '0.07416261732578278'
 '0.07009713351726532' '0.06783701479434967' '0.06758485734462738'
 '0.06459525227546692' '0.05462779477238655' '0.05234526842832565'
 '0.051883913576602936' '0.048703547567129135' '0.04784959927201271'
 '0.04629029333591461' '0.04572513699531555' '0.0435408279299736'
 '0.04312392696738243' '0.043060097843408585']"
DOID:0050861,Colon mucosa - colorectal adenocarcinomas with microsatellite instability (MSI CRCs),"['ACTG2' 'TAGLN' 'LGALS4' 'FABP1' 'IGHA2' 'GUCA2A' 'MYLK' 'MYL9' 'CNN1'
 'ZG16' 'FABP6' 'DEFA5' 'CSRP1' 'CA2' 'MYH11' 'DEFA6' 'HMGCS2' 'HLA-B'
 'SELENBP1' 'ACTB']","['-0.1927383542060852' '-0.18602080643177032' '-0.16892844438552856'
 '-0.15948228538036346' '-0.15639851987361908' '-0.14048120379447937'
 '-0.13567040860652924' '-0.1292380690574646' '-0.12922148406505585'
 '-0.12500245869159698' '-0.1090952679514885' '-0.10781022906303406'
 '-0.10744411498308182' '-0.09718139469623566' '-0.0929453894495964'
 '-0.09278324246406555' '-0.08595331758260727' '-0.08173782378435135'
 '-0.08150540292263031' '-0.06992160528898239']","['IGHV4-31' 'REG1A' 'IFITM3' 'COL1A2' 'SPINK4' 'TUBA1B' 'IFITM1' 'LDHA'
 'TMSB10' 'ASS1' 'MIF' 'ANXA2' 'TIMP1' 'RPL39' 'TUBA1C' 'OLFM4' 'KRT18'
 'DMBT1' 'MMP3' 'PABPC1']","['0.2870815098285675' '0.14353756606578827' '0.1219916045665741'
 '0.10134869813919067' '0.1001984253525734' '0.09708165377378464'
 '0.09131041169166565' '0.08898751437664032' '0.08855540305376053'
 '0.08852315694093704' '0.0866217315196991' '0.0864875465631485'
 '0.08216998726129532' '0.07871713489294052' '0.07413671165704727'
 '0.07231850922107697' '0.07212498784065247' '0.06835876405239105'
 '0.0658799260854721' '0.06138475239276886']"
DOID:14323,Fibroblast,"['MARCH6' 'NR2F6' 'ELN' 'SMARCD2' 'COL3A1' 'CA12' 'CCR6' 'SHOX2' 'ENPP2'
 'MRE11A' 'EFEMP1' 'GEMIN2' 'HMGN4' 'MAPK8' 'PRKG1' 'PIGC' 'BRCA1'
 'PPP2R4' 'GFRA2' 'PTPN13']","['-0.27490198612213135' '-0.25782549381256104' '-0.2517489790916443'
 '-0.20913328230381012' '-0.1643475592136383' '-0.14889520406723022'
 '-0.1406872719526291' '-0.12977823615074158' '-0.1138480007648468'
 '-0.10353776812553406' '-0.09888119995594025' '-0.09715564548969269'
 '-0.09297135472297668' '-0.09037113934755325' '-0.09013044834136963'
 '-0.08657437562942505' '-0.08610448986291885' '-0.08568337559700012'
 '-0.07647214084863663' '-0.06734035909175873']","['ACTB' 'DKK3' 'TSC2' 'CYCS' 'AQP1' 'ABCC1' 'CALM2' 'PLOD2' 'PEA15'
 'TXNRD1' 'ENC1' 'LDLR' 'GPM6B' 'LCP2' 'SHC1' 'NPHP1' 'NPC1' 'SART1'
 'CTBP1' 'SRGN']","['0.2009250968694687' '0.1114712506532669' '0.10685288906097412'
 '0.10432575643062592' '0.07484465837478638' '0.06986311078071594'
 '0.06986288726329803' '0.06804563850164413' '0.06692362576723099'
 '0.06686746329069138' '0.06248510628938675' '0.06175858527421951'
 '0.06080647557973862' '0.05995497852563858' '0.057507503777742386'
 '0.05620727315545082' '0.056064605712890625' '0.05277607962489128'
 '0.052706778049468994' '0.05267505720257759']"
DOID:1206,frontal cortex,"['NRGN' 'ATP1B1' 'ENC1' 'ATP6V0C' 'EIF4A2' 'VSNL1' 'CHN1' 'GDI1' 'MDH1'
 'NSF' 'CABP1' 'SNAP25' 'SPP1' 'MAP1A' 'CFL1' 'ENO2' 'DNM1' 'RTN1' 'NCDN'
 'PRKAR1B']","['-0.1644134372472763' '-0.14323870837688446' '-0.12384279817342758'
 '-0.1024039015173912' '-0.09627234935760498' '-0.09451182186603546'
 '-0.09210745990276337' '-0.09174652397632599' '-0.09118539094924927'
 '-0.0858411192893982' '-0.08274269849061966' '-0.0811276063323021'
 '-0.08058872818946838' '-0.07819969207048416' '-0.07727722823619843'
 '-0.07715432345867157' '-0.07699696719646454' '-0.07523036003112793'
 '-0.07024618983268738' '-0.06985190510749817']","['HBB' 'GFAP' 'HSPA1B' 'FAM107A' 'HSPB1' 'MT1H' 'TUBB2B' 'HBA2' 'CST3'
 'MT3' 'GLUL' 'PTGDS' 'LOC100505584' 'RPS18' 'FTH1P5' 'MT1E' 'MT1F' 'DDN'
 'MT1A' 'ALDH2']","['0.22999413311481476' '0.14602017402648926' '0.13778114318847656'
 '0.13302655518054962' '0.1289350390434265' '0.12804049253463745'
 '0.11549931764602661' '0.1126234158873558' '0.11061200499534607'
 '0.1091526448726654' '0.10250357538461685' '0.10108465701341629'
 '0.09501401335000992' '0.09376537799835205' '0.07552585750818253'
 '0.07060497254133224' '0.07013549655675888' '0.06576120108366013'
 '0.06446672976016998' '0.06413671374320984']"
DOID:8150,Epithelial cells (pancreatic duct),"['CPB1' 'PRSS2' 'CTRB2' 'PNLIP' 'REG1B' 'PRSS3' 'REG1A' 'CELA3A' 'PRSS3P2'
 'PRSS1' 'AMY2B' 'CPA2' 'PLA2G1B' 'CLPS' 'RPL3' 'CPA1' 'RPS18' 'SPINK1'
 'RPS10' 'RPS4Y1']","['-0.320614218711853' '-0.2554571330547333' '-0.2520729601383209'
 '-0.2380339354276657' '-0.20386195182800293' '-0.19557996094226837'
 '-0.1888389140367508' '-0.17326006293296814' '-0.15085656940937042'
 '-0.14810635149478912' '-0.14248467981815338' '-0.13548608124256134'
 '-0.12867942452430725' '-0.12118852883577347' '-0.12044770270586014'
 '-0.10455485433340073' '-0.10128407925367355' '-0.09895940124988556'
 '-0.09571625292301178' '-0.08984018862247467']","['ATP1B1' 'SPINK4' 'TFF1' 'CEACAM6' 'S100P' 'CTSE' 'LCN2' 'ANKRD36B'
 'PTTG1IP' 'LDHA' 'MAL2' 'PLAC8' 'TMA7' 'TSPAN8' 'NDUFS6' 'TFF3'
 'C15orf48' 'COX1' 'TFF2' 'LGALS3']","['0.07505710422992706' '0.06765558570623398' '0.06163635104894638'
 '0.05604732409119606' '0.053463440388441086' '0.0511384978890419'
 '0.04710232466459274' '0.04339161515235901' '0.04137655720114708'
 '0.039489202201366425' '0.038923364132642746' '0.03826503828167915'
 '0.03803488612174988' '0.03797343373298645' '0.037719983607530594'
 '0.037165164947509766' '0.0370418019592762' '0.0363185815513134'
 '0.03630349412560463' '0.03611950948834419']"
DOID:3265,Blood neutrophil,"['LOC100510519' 'NEBL' 'ZBED4' 'GM2A' 'RAB11FIP3' 'DCT' 'YBX3' 'MICAL2'
 'MXRA7' 'NUPR1' 'RNASEH2B' 'TBR1' 'CYP1B1' 'ASGR2' 'POLR2E' 'CFD' 'PXDC1'
 'COPS3' 'BSN' 'TNP2']","['-0.18153449892997742' '-0.10112696141004562' '-0.08018556237220764'
 '-0.07238079607486725' '-0.07139977067708969' '-0.06942658126354218'
 '-0.06890323013067245' '-0.06763684749603271' '-0.06447717547416687'
 '-0.0639864131808281' '-0.06304342299699783' '-0.06266379356384277'
 '-0.057180676609277725' '-0.055494796484708786' '-0.05506914108991623'
 '-0.054110199213027954' '-0.0538703128695488' '-0.05351842939853668'
 '-0.05257977172732353' '-0.05188833549618721']","['LY6E' 'CCL23' 'ORM2' 'HBA2' 'HBB' 'FOLR3' 'CCL2' 'OAS1' 'IFI44L' 'OAS2'
 'UPP1' 'PSPH' 'AKR1C2' 'LCN2' 'HP' 'MT1F' 'ISG15' 'HIST1H2BD' 'LEPROT'
 'EGR1']","['0.14465631544589996' '0.11864077299833298' '0.09071920812129974'
 '0.09048116207122803' '0.0853135734796524' '0.07790114730596542'
 '0.07370425015687943' '0.0695747584104538' '0.06135468930006027'
 '0.06118342652916908' '0.06087184324860573' '0.05996999889612198'
 '0.059555936604738235' '0.05918187275528908' '0.05903945490717888'
 '0.05740838125348091' '0.05691350996494293' '0.05589663237333298'
 '0.050985101610422134' '0.05011456087231636']"
DOID:3687,Muscle - Striated (Skeletal) (MMHCC),"['HBB' 'HBA2' 'SUPT20H' 'ENO3' 'RPLP0' 'COX6C' 'ALDOA' 'TNNC1' 'RPL23A'
 'MYH7' 'UQCR10' 'RPL41' 'EEF1G' 'MYL6B' 'FHL1' 'SEPW1' 'RPS29' 'RPS15A'
 'RPL21' 'RPS10']","['-0.3604525625705719' '-0.2699572443962097' '-0.15701816976070404'
 '-0.1502053290605545' '-0.13396738469600677' '-0.1297992616891861'
 '-0.12291473150253296' '-0.11653094738721848' '-0.11648988723754883'
 '-0.11569926142692566' '-0.11261556297540665' '-0.10817468166351318'
 '-0.10238829255104065' '-0.10182886570692062' '-0.10030198842287064'
 '-0.09952808916568756' '-0.09790289402008057' '-0.09788786619901657'
 '-0.09644381701946259' '-0.09373384714126587']","['TNNT3' 'EEF1A1P9' 'APOD' 'HLA-A' 'RPS4Y1' 'EEF2' 'LDHB' 'CFL1' 'TCAP'
 'RPL36' 'FTL' 'ACTG1' 'NACAP1' 'SPARCL1' 'MYOM2' 'ANKRD2' 'SERPINF1'
 'ETFB' 'NMRK2' 'THBS4']","['0.13738374412059784' '0.08406427502632141' '0.06851029396057129'
 '0.05889322981238365' '0.05871506407856941' '0.05488171428442001'
 '0.04853757843375206' '0.045085180550813675' '0.038633424788713455'
 '0.038530975580215454' '0.037949338555336' '0.03693452477455139'
 '0.03602980077266693' '0.03579897806048393' '0.03508247807621956'
 '0.0344819650053978' '0.03418281301856041' '0.03380975499749184'
 '0.033666472882032394' '0.03350730985403061']"
DOID:4325,macrophage,"['ALDOA' 'RPS18' 'FN1' 'UQCRQ' 'CD14' 'RPS16' 'RPL27A' 'LGMN' 'TGFBI'
 'SEPP1' 'RPS10' 'FTL' 'RPS20' 'GPX1' 'TMBIM6' 'SNORA21' 'PLD3' 'IFI30'
 'TMSB10' 'RAC2']","['-0.13611364364624023' '-0.12923391163349152' '-0.11458349227905273'
 '-0.10839361697435379' '-0.10468775033950806' '-0.10374420881271362'
 '-0.10169252008199692' '-0.09101225435733795' '-0.0891854390501976'
 '-0.07965515553951263' '-0.07856215536594391' '-0.07522463798522949'
 '-0.07515871524810791' '-0.07460659742355347' '-0.07414310425519943'
 '-0.07197336852550507' '-0.07099451869726181' '-0.06886055320501328'
 '-0.06821230053901672' '-0.06765753775835037']","['IL1B' 'CCL3' 'IER3' 'TNFAIP6' 'CCL4' 'NFKBIA' 'CXCL8' 'LITAF' 'CXCL2'
 'TXN' 'TNF' 'TNFAIP2' 'CD83' 'FSCN1' 'TNFAIP3' 'SOD2' 'PSMA6' 'CCL20'
 'ICAM1' 'WARS']","['0.3488610088825226' '0.2156534492969513' '0.1710307002067566'
 '0.15700367093086243' '0.15297138690948486' '0.13433866202831268'
 '0.12408801168203354' '0.12295769155025482' '0.12014460563659668'
 '0.11242110282182693' '0.10079945623874664' '0.0993066281080246'
 '0.09431496262550354' '0.09339810907840729' '0.0894172415137291'
 '0.08756794780492783' '0.08135516941547394' '0.07986277341842651'
 '0.07672018557786942' '0.07479674369096756']"
DOID:11981,adipose stem cells,"['ENPP2' 'CRLF1' 'MIR675' 'HMOX1' 'ANPEP' 'TXNIP' 'LRRC32' 'IGFBP4'
 'SCUBE3' 'HAS2' 'HIST1H2BM' 'MIR503' 'PPAP2B' 'PLAT' 'IFITM1' 'SNORA71D'
 'GJA1' 'F10' 'MIR503HG' 'TGM2']","['-0.11835823208093643' '-0.10425634682178497' '-0.10389800369739532'
 '-0.10142169147729874' '-0.08932749927043915' '-0.08702243864536285'
 '-0.0861237645149231' '-0.08044330775737762' '-0.07254213839769363'
 '-0.07252887636423111' '-0.06526815891265869' '-0.06380093097686768'
 '-0.06273294985294342' '-0.06062823534011841' '-0.05901074409484863'
 '-0.05830087512731552' '-0.055575594305992126' '-0.05416908115148544'
 '-0.052649591118097305' '-0.05251811072230339']","['FOS' 'EGR1' 'DUSP1' 'PTGS2' 'IER3' 'FOSB' 'HAPLN1' 'CTGF' 'SULF1' 'HES1'
 'EDIL3' 'CEMIP' 'ACTA2' 'EGR2' 'ITGBL1' 'C3' 'NR4A1' 'HEG1' 'POSTN'
 'COL12A1']","['0.2236417531967163' '0.19711460173130035' '0.14585666358470917'
 '0.11637971550226212' '0.11610857397317886' '0.10650820285081863'
 '0.10277364403009415' '0.10121972113847733' '0.10065644234418869'
 '0.09508585184812546' '0.09483412653207779' '0.09456966072320938'
 '0.09265924990177155' '0.0902477279305458' '0.08864256739616394'
 '0.08717259019613266' '0.08182961493730545' '0.08021984994411469'
 '0.07943172752857208' '0.07941487431526184']"
DOID:399,Peripheral blood mononuclear cells,"['IL1B' 'SERPINB2' 'CXCL8' 'TIMP1' 'IER3' 'CCL20' 'CXCL3' 'CCL4' 'CCL3L3'
 'CXCR4' 'C15orf48' 'OLR1' 'HSPA1A' 'TNFAIP3' 'G0S2' 'GPR183' 'CTSL'
 'DDIT4' 'CCL2' 'TNFAIP6']","['-0.28559231758117676' '-0.22293631732463837' '-0.21536345779895782'
 '-0.17766276001930237' '-0.15864874422550201' '-0.14462266862392426'
 '-0.1423674076795578' '-0.13847830891609192' '-0.13688190281391144'
 '-0.11574992537498474' '-0.10490060597658157' '-0.09118056297302246'
 '-0.08870053291320801' '-0.08428395539522171' '-0.08133449405431747'
 '-0.0789249911904335' '-0.07493332028388977' '-0.07417723536491394'
 '-0.07409840077161789' '-0.07320518791675568']","['S100A9' 'HBA2' 'LYZ' 'S100A4' 'TMSB10' 'FCN1' 'TXNIP' 'RPS26' 'CD52'
 'TUBA1A' 'ACTB' 'PPBP' 'IFITM2' 'MNDA' 'S100A12' 'CTSS' 'IFITM1' 'ARPC1B'
 'CYAT1' 'TALDO1']","['0.19810208678245544' '0.16667689383029938' '0.14300204813480377'
 '0.1347542256116867' '0.1300521343946457' '0.11350800096988678'
 '0.09414059668779373' '0.08696941286325455' '0.08401411026716232'
 '0.08281657099723816' '0.07538598775863647' '0.07430829852819443'
 '0.07354745268821716' '0.07340720295906067' '0.07277482748031616'
 '0.07050031423568726' '0.06832972913980484' '0.06662409007549286'
 '0.06373047828674316' '0.061315737664699554']"
